index,best_error,e_ads,e_int_abs,e_des,e_int_des,e_diff,e_int_diff,lattice_size,T
0,0.10217000040733598,0.08150606678144395,0.042231169693255216,0.272,0.06830178124824592,0.16000000000000003,0.16000000000000003,765,300.65297747277447
1,1.9155439909357233,0.04019932079477847,0.042529010847692963,0.272,0.068,0.6400000000000001,0.1088113426885884,600,300.0
2,0.6611058408244,0.047140195995570275,0.038714960295425295,0.2434441803601123,0.2672711463728667,0.5867385173417683,0.15099493365174085,737,300.0084654002319
3,0.037398525230443076,0.11555942867778632,0.07745227006265194,0.09904309365227454,0.16611496794864986,0.16000000000000003,0.11833649115646103,783,300.0
4,0.10910916895947088,0.08704190902824341,0.05137414327986975,0.14714211923193155,0.1492268291949269,0.5934632807795039,0.08533820189175495,658,300.6239171059125
5,3.1984561837192356,0.03478772689028137,0.035237508219947825,0.250391868734861, -0.0272,NaN,NaN,600,300.52522650672836
6,39.79746002677549,0.0011866499579309508,0.08149880467339544,0.23487526089072122, -0.015343794981290558,0.21151466114136674,-0.03909178380098513,315,300.0253589928943
7,5.6978752653498645,0.039200000000000006,0.03280282871955963,0.272,0.14884483744426985,0.20678933727706483,0.16000000000000003,600,300.19877965039194
8,0.8438377275717679,0.039200000000000006,0.03525158756431014,0.272,0.272,0.6400000000000001,0.06871332793583265,727,300.6442166773533
9,0.5967354021668091,0.08008450271877286,0.04042109802748982,0.272,0.11108150117815505,0.18742430431042134,0.16000000000000003,600,300.35878168531997
10,0.636462199607436,0.039200000000000006,0.04198490430951765,0.2477136460794064,0.1548044761332652,0.6097390484280805,0.1526765756082057,628,300.7726760373918
11,0.8754033069357321,0.039200000000000006,0.03643912575987886,0.24286239808183357,0.1478719325796904,0.20327439835124536,0.16000000000000003,727,300.85264133331015
